Study_ID	ITRDB_Code	Study_Name	Latitude	Longitude	Elevation	Species	FirstYear	LastYear
3264	AK001	Fritts - Herring Alpine - TSHE - ITRDB AK001	60.43	-147.75	275	TSHE	1422	1972
4397	AK006	Schweingruber - Denali National Park - PCGL - ITRDB AK006	63.67	-149.58	750	PCGL	1554	1983
4425	AK007	Schweingruber - Glenn Highway - PCGL - ITRDB AK007	61.33	-149.58	100	PCGL	1770	1983
4537	AK008	Schweingruber - Moose Pass Seward - PCSI - ITRDB AK008	60.5	-149.5	100	PCSI	1664	1983
4657	AK009	Schweingruber - Slana Bei Tok - PCGL - ITRDB AK009	62.83	-143.92	600	PCGL	1696	1983
4409	AK010	Schweingruber - Eureka Summit - PCGL - ITRDB AK010	61.83	-147.33	960	PCGL	1654	1983
4538	AK011	Schweingruber - Mount Billy Mitchell - PCGL - ITRDB AK011	61.33	-145.25	300	PCGL	1792	1983
4564	AK012	Schweingruber - Northway Junction - PCGL - ITRDB AK012	62.83	-141.33	600	PCGL	1795	1983
4735	AK013	Schweingruber - Willow Island - PCGL - ITRDB AK013	64.83	-148.17	99	PCGL	1769	1983
3480	AK014	Harlan - Settlement Point Afognak Island - PCSI - ITRDB AK014	58.05	-152.7	10	PCSI	1690	1996
5240	AK015	Wiles - Ellsworth Glacier - TSME - ITRDB AK015	60.08	-148.97	480	TSME	1543	1991
5241	AK016	Wiles - Exit Glacier - PCSI - ITRDB AK016	60.2	-149.58	480	PCSI	1574	1988
5242	AK017	Wiles - Grewingk Glacier - PCSI - ITRDB AK017	59.62	-151.15	20	PCSI	1719	1988
5243	AK018	Wiles - Kenai Lowlands - PCSI - ITRDB AK018	59.68	-151.42	20	PCSI	1720	1988
5245	AK019	Wiles - Mountain Lake Alaska - PCSI - ITRDB AK019	59.645	-139.311	350	PCSI	1821	1993
5239	AK020	Wiles - Cordova Eyak Mountain - TSME - ITRDB AK020	60.6	-145.67	430	TSME	1365	1992
5244	AK021	Wiles - Miners Well - TSME - ITRDB AK021	60	-141.68	650	TSME	1428	1995
5246	AK022	Wiles - Nichawak Mountain - PCSI - ITRDB AK022	60.25	-143.97	310	PCSI	1762	1992
5247	AK023	Wiles - Petrof Lateral Moraine - PCSI - ITRDB AK023	59.37	-150.83	300	PCSI	1615	1987
5248	AK024	Wiles - Rock Glacier - TSME - ITRDB AK024	60.07	-148.83	420	TSME	1514	1992
5249	AK025	Wiles - Tebenkof Glacier - TSME - ITRDB AK025	60.73	-148.47	50	TSME	1450	1991
5250	AK026	Wiles - Tustemena Moraine - PCSI - ITRDB AK026	60.08	-150.58	70	PCSI	1790	1988
3614	AK027	Jacoby - Turnagain Pass - TSME - ITRDB AK027	60.82	-149.17	400	TSME	1709	1990
5251	AK028	Wiles - Wittier Canal - TSME - ITRDB AK028	60.83	-148.58	300	TSME	1412	1991
3618	AK029	Jacoby - Water Supply - TSME - ITRDB AK029	60.12	-149.47	305	TSME	1727	1989
5252	AK030	Wiles - Wolverine Glacier - TSME - ITRDB AK030	60.37	-148.9	400	TSME	1247	1991
3593	AK031	Jacoby - Four Twelve with Revisit - PCGL - ITRDB AK031	67.93	-162.3	126	PCGL	1524	1990
3586	AK032	Jacoby - Arrigetch - PCGL - ITRDB AK032	67.45	-154.05	716	PCGL	1585	1990
3607	AK033	Jacoby - Sheenjek River and Flats - PCGL - ITRDB AK033	68.63	-143.72	808	PCGL	1296	1979
3889	AK034	Lloyd - Fox River Bank - PCGL - ITRDB AK034	64.82	-163.7	61	PCGL	1795	1997
3879	AK035	Lloyd - Canyon Creek - PCGL - ITRDB AK035	63.25	-147.78	884	PCGL	1642	1997
3887	AK036	Lloyd - Eagle Summit below treeline - PCGL - ITRDB AK036	65.5	-145.33	945	PCGL	1734	1997
3888	AK037	Lloyd - Eagle Summit treeline - PCGL - ITRDB AK037	65.5	-145.33	945	PCGL	1833	1996
3890	AK038	Lloyd - Grasshopper Hill - PCGL - ITRDB AK038	64.92	-163.67	150	PCGL	1790	1999
3891	AK039	Lloyd - Monahan Flats - PCGL - ITRDB AK039	63.27	-147.92	884	PCGL	1697	1998
3892	AK040	Lloyd - Nome Creek below treeline - PCGL - ITRDB AK040	65.37	-146.62	884	PCGL	1785	1999
3893	AK041	Lloyd - Nome Creek treeline - PCGL - ITRDB AK041	65.37	-146.62	884	PCGL	1775	1997
3894	AK042	Lloyd - Twelvemile Summit below treeline - PCGL - ITRDB AK042	65.37	-145.93	945	PCGL	1739	1996
3895	AK043	Lloyd - Twelvemile Summit treeline - PCGL - ITRDB AK043	65.37	-145.93	945	PCGL	1713	1997
3896	AK044	Lloyd - Usibelli below treeline - PCGL - ITRDB AK044	63.9	-148.67	762	PCGL	1784	1996
3897	AK045	Lloyd - Usibelli treeline - PCGL - ITRDB AK045	63.9	-148.67	762	PCGL	1774	1996
3706	AK046	King - Kobuk/Noatak - PCGL - ITRDB AK046	67.07	-159.62	100	PCGL	978	1992
5256	AK047	Wilmking - Firth River - PCGL - ITRDB AK047	68.1	-141.1	100	PCGL	1676	2002
